,species,uniqueID,region,extrBatch,age,AGE,sex,rand,Species,group
X2018.06.06_brain_HUM_CB_MS1_h.neg,HS,B44,CB,1,4,4,F,1,hum,PR
X2018.06.06_brain_HUM_CB_MS2_h.neg,HS,B58,CB,1,98,98,M,2,hum,PR
X2018.06.06_brain_HUM_CB_MS9_h.neg,HS,B137,CB,1,286,286,M,9,hum,PR
X2018.06.06_brain_HUM_CB_MS10_h.neg,HS,B8,CB,1,365,1?,F,10,hum,PR
X2018.06.06_brain_HUM_CB_MS17_h.neg,HS,B47,CB,1,1,1,F,17,hum,PR
X2018.06.06_brain_HUM_CB_MS20_h.neg,HS,B46,CB,1,31,31,F,20,hum,PR
X2018.06.06_brain_HUM_CB_MS33_h.neg,HS,B20,CB,1,6,6,M,33,hum,PR
X2018.06.06_brain_HUM_CB_MS41_h.neg,HS,B65,CB,1,19,19,F,41,hum,PR
X2018.06.06_brain_HUM_CB_MS43_h.neg,HS,B4,CB,1,1,1,F,43,hum,PR
X2018.06.06_brain_HUM_CB_MS50_h.neg,HS,B74,CB,2,328,328,F,50,hum,PR
X2018.06.06_brain_HUM_CB_MS57_h.neg,HS,B31,CB,2,7,7,F,57,hum,PR
X2018.06.06_brain_HUM_CB_MS66_h.neg,HS,B49,CB,2,95,95,F,66,hum,PR
X2018.06.06_brain_HUM_CB_MS67_h.neg,HS,B24,CB,2,210,210,M,67,hum,PR
X2018.06.06_brain_HUM_CB_MS74_h.neg,HS,B140,CB,2,270,270,M,74,hum,PR
X2018.06.06_brain_HUM_CB_MS83_h.neg,HS,B14,CB,2,0,0,M,83,hum,PR
X2018.06.06_brain_HUM_CB_MS85_h.neg,HS,B18,CB,2,180,180,F,85,hum,PR
X2018.06.06_brain_HUM_CB_MS89_h.neg,HS,B144,CB,2,1277,1277,M,89,hum,PR
X2018.06.06_brain_HUM_CB_MS91_h.neg,HS,B36,CB,2,17,17,F,91,hum,PR
X2018.06.06_brain_HUM_CB_MS97_h.neg,HS,B2,CB,3,0,0,F,97,hum,PR
X2018.06.06_brain_HUM_CB_MS100_h.neg,HS,B143,CB,3,4,4?,M,100,hum,PR
X2018.06.06_brain_HUM_CB_MS106_h.neg,HS,B45,CB,3,65,65,M,106,hum,PR
X2018.06.06_brain_HUM_CB_MS112_h.neg,HS,B42,CB,3,6,6,F,112,hum,PR
X2018.06.06_brain_HUM_CB_MS116_h.neg,HS,B50,CB,3,107,107,M,116,hum,PR
X2018.06.06_brain_HUM_CB_MS121_h.neg,HS,B38,CB,3,6,6,F,121,hum,PR
X2018.06.06_brain_HUM_CB_MS123_h.neg,HS,B73,CB,3,181,181,F,123,hum,PR
X2018.06.06_brain_HUM_CB_MS130_h.neg,HS,B145,CB,3,0,0,F,130,hum,PR
X2018.06.06_brain_HUM_CB_MS138_h.neg,HS,B139,CB,3,1,1?,M,138,hum,PR
X2018.06.06_brain_HUM_CB_MS139_h.neg,HS,B6,CB,3,183,0.5?,F,139,hum,PR
X2018.06.06_brain_HUM_CB_MS146_h.neg,HS,B12,CB,4,300,300,F,146,hum,PR
X2018.06.06_brain_HUM_CB_MS148_h.neg,HS,B71,CB,4,4,4,M,148,hum,PR
X2018.06.06_brain_HUM_CB_MS163_h.neg,HS,B62,CB,4,94,94,M,163,hum,PR
